species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_index
2,0,40.9,13.7,214.0,4650.0,0,2.985401459854015
0,1,37.3,17.8,191.0,3350.0,0,2.095505617977528
2,0,50.0,15.9,224.0,5350.0,1,3.144654088050314
0,0,35.9,19.2,189.0,3800.0,0,1.8697916666666667
0,0,40.5,18.9,180.0,3950.0,1,2.1428571428571432
2,0,44.4,17.3,219.0,5250.0,1,2.566473988439306
2,0,46.2,14.1,217.0,4375.0,0,3.276595744680851
2,0,42.9,13.1,215.0,5000.0,0,3.2748091603053435
1,1,54.2,20.8,201.0,4300.0,1,2.605769230769231
0,1,38.3,19.2,189.0,3950.0,1,1.9947916666666663
0,2,37.3,20.5,199.0,3775.0,1,1.819512195121951
0,1,37.8,18.1,193.0,3750.0,1,2.0883977900552484
2,0,47.8,15.0,215.0,5650.0,1,3.1866666666666665
0,2,40.2,17.0,176.0,3450.0,0,2.364705882352941
0,1,39.2,18.6,190.0,4250.0,1,2.10752688172043
1,1,40.9,16.6,187.0,3200.0,0,2.4638554216867465
0,1,38.1,18.6,190.0,3700.0,0,2.048387096774193
2,0,55.9,17.0,228.0,5600.0,1,3.288235294117647
2,0,43.6,13.9,217.0,4900.0,0,3.1366906474820144
0,1,38.8,20.0,190.0,3950.0,1,1.94
2,0,47.5,14.0,212.0,4875.0,0,3.392857142857143
1,1,53.5,19.9,205.0,4500.0,1,2.6884422110552766
1,1,48.5,17.5,191.0,3400.0,1,2.771428571428572
2,0,50.2,14.3,218.0,5700.0,1,3.5104895104895104
2,0,50.4,15.7,222.0,5750.0,1,3.210191082802548
0,1,41.5,18.5,201.0,4000.0,1,2.2432432432432434
0,0,41.6,18.0,192.0,3950.0,1,2.311111111111112
0,2,40.6,19.0,199.0,4000.0,1,2.136842105263158
0,0,37.8,18.3,174.0,3400.0,0,2.065573770491803
0,2,39.2,19.6,195.0,4675.0,1,2.0
1,1,55.8,19.8,207.0,4000.0,1,2.818181818181818
0,1,43.2,18.5,192.0,4100.0,1,2.3351351351351357
0,1,39.2,21.1,196.0,4150.0,1,1.8578199052132705
0,0,40.5,17.9,187.0,3200.0,0,2.2625698324022347
2,0,48.2,15.6,221.0,5100.0,1,3.08974358974359
2,0,47.4,14.6,212.0,4725.0,0,3.246575342465753
0,0,37.6,17.0,185.0,3600.0,0,2.211764705882353
1,1,52.8,20.0,205.0,4550.0,1,2.64
0,2,36.6,17.8,185.0,3700.0,0,2.056179775280899
2,0,49.0,16.1,216.0,5550.0,1,3.043478260869565
2,0,48.4,14.6,213.0,5850.0,1,3.315068493150685
0,1,36.9,18.6,189.0,3500.0,0,1.9838709677419355
1,1,51.3,18.2,197.0,3750.0,1,2.8186813186813184
0,1,37.0,16.9,185.0,3000.0,0,2.189349112426036
2,0,48.4,14.4,203.0,4625.0,0,3.3611111111111107
0,0,38.1,16.5,198.0,3825.0,0,2.309090909090909
1,1,51.3,19.9,198.0,3700.0,1,2.577889447236181
1,1,49.0,19.6,212.0,4300.0,1,2.5
1,1,47.0,17.3,185.0,3700.0,0,2.7167630057803467
0,2,38.5,17.9,190.0,3325.0,0,2.150837988826816
2,0,45.8,14.6,210.0,4200.0,0,3.136986301369863
0,2,39.6,17.2,196.0,3550.0,0,2.302325581395349
1,1,43.5,18.1,202.0,3400.0,0,2.403314917127072
0,0,38.2,18.1,185.0,3950.0,1,2.110497237569061
1,1,48.1,16.4,199.0,3325.0,0,2.932926829268293
2,0,46.5,14.4,217.0,4900.0,0,3.2291666666666665
0,1,39.0,18.7,185.0,3650.0,1,2.085561497326203
0,0,38.8,17.2,180.0,3800.0,1,2.255813953488372
2,0,47.2,13.7,214.0,4925.0,0,3.445255474452555
0,1,33.1,16.1,178.0,2900.0,0,2.0559006211180124
0,1,41.3,20.3,194.0,3550.0,1,2.034482758620689
0,2,42.8,18.5,195.0,4250.0,1,2.3135135135135134
1,1,45.7,17.0,195.0,3650.0,0,2.6882352941176477
0,0,37.7,16.0,183.0,3075.0,0,2.35625
0,0,37.8,20.0,190.0,4250.0,1,1.89
1,1,45.7,17.3,193.0,3600.0,0,2.6416184971098264
0,2,35.5,17.5,190.0,3700.0,0,2.0285714285714285
0,0,37.9,18.6,172.0,3150.0,0,2.0376344086021505
0,1,36.0,18.5,186.0,3100.0,0,1.945945945945946
2,0,59.6,17.0,230.0,6050.0,1,3.5058823529411764
0,2,45.8,18.9,197.0,4150.0,1,2.4232804232804237
2,0,50.1,15.0,225.0,5000.0,1,3.3400000000000003
0,1,36.0,17.1,187.0,3700.0,0,2.1052631578947367
0,2,43.1,19.2,197.0,3500.0,1,2.244791666666667
2,0,46.7,15.3,219.0,5200.0,1,3.0522875816993467
0,1,34.0,17.1,185.0,3400.0,0,1.9883040935672516
2,0,47.7,15.0,216.0,4750.0,0,3.18
1,1,46.1,18.2,178.0,3250.0,0,2.5329670329670333
2,0,46.4,15.6,221.0,5000.0,1,2.9743589743589745
1,1,51.3,19.2,193.0,3650.0,1,2.671875
2,0,45.2,16.4,223.0,5950.0,1,2.75609756097561
2,0,46.1,15.1,215.0,5100.0,1,3.0529801324503314
2,0,43.3,13.4,209.0,4400.0,0,3.231343283582089
1,1,51.7,20.3,194.0,3775.0,1,2.5467980295566504
2,0,46.5,13.5,210.0,4550.0,0,3.4444444444444446
0,1,41.1,17.5,190.0,3900.0,1,2.3485714285714288
0,1,44.1,19.7,196.0,4400.0,1,2.238578680203046
2,0,46.3,15.8,215.0,5050.0,1,2.9303797468354427
1,1,49.3,19.9,203.0,4050.0,1,2.477386934673367
1,1,49.2,18.2,195.0,4400.0,1,2.7032967032967035
0,2,35.7,17.0,189.0,3350.0,0,2.1
1,1,45.2,16.6,191.0,3250.0,0,2.7228915662650603
1,1,51.5,18.7,187.0,3250.0,1,2.7540106951871657
0,2,41.4,18.5,202.0,3875.0,1,2.2378378378378376
2,0,53.4,15.8,219.0,5500.0,1,3.3797468354430378
2,0,50.5,15.2,216.0,5000.0,0,3.322368421052632
2,0,47.5,15.0,218.0,4950.0,0,3.1666666666666665
1,1,46.4,18.6,190.0,3450.0,0,2.494623655913978
2,0,46.8,15.4,215.0,5150.0,1,3.038961038961039
2,0,45.5,13.7,214.0,4650.0,0,3.321167883211679
1,1,46.0,18.9,195.0,4150.0,0,2.433862433862434
2,0,49.2,15.2,221.0,6300.0,1,3.2368421052631584
0,2,40.3,18.0,195.0,3250.0,0,2.238888888888889
0,2,37.7,19.8,198.0,3500.0,1,1.904040404040404
1,1,49.5,19.0,200.0,3800.0,1,2.6052631578947367
2,0,50.4,15.3,224.0,5550.0,1,3.294117647058824
0,2,38.8,17.6,191.0,3275.0,0,2.204545454545454
2,0,41.7,14.7,210.0,4700.0,0,2.8367346938775517
2,0,51.1,16.3,220.0,6000.0,1,3.1349693251533743
0,1,37.5,18.5,199.0,4475.0,1,2.027027027027027
0,2,34.6,17.2,189.0,3200.0,0,2.011627906976744
0,1,36.4,17.0,195.0,3325.0,0,2.1411764705882352
0,1,38.9,18.8,190.0,3600.0,0,2.0691489361702127
2,0,45.8,14.2,219.0,4700.0,0,3.2253521126760565
0,0,42.2,19.5,197.0,4275.0,1,2.1641025641025644
1,1,52.0,20.7,210.0,4800.0,1,2.5120772946859904
2,0,49.5,16.2,229.0,5800.0,1,3.055555555555556
0,1,39.7,17.9,193.0,4250.0,1,2.217877094972067
1,1,46.9,16.6,192.0,2700.0,0,2.8253012048192767
2,0,46.2,14.5,209.0,4800.0,0,3.1862068965517243
0,0,39.6,17.7,186.0,3500.0,0,2.2372881355932206
2,0,50.8,15.7,226.0,5200.0,1,3.2356687898089174
0,2,39.7,18.4,190.0,3900.0,1,2.1576086956521743
2,0,49.1,14.5,212.0,4625.0,0,3.386206896551724
0,1,41.1,18.1,205.0,4300.0,1,2.270718232044199
1,1,49.0,19.5,210.0,3950.0,1,2.5128205128205128
0,2,40.9,16.8,191.0,3700.0,0,2.4345238095238093
1,1,52.0,18.1,201.0,4050.0,1,2.87292817679558
0,2,42.5,20.7,197.0,4500.0,1,2.0531400966183577
0,1,36.5,18.0,182.0,3150.0,0,2.0277777777777777
0,1,40.9,18.9,184.0,3900.0,1,2.164021164021164
1,1,46.7,17.9,195.0,3300.0,0,2.608938547486034
0,1,36.0,17.8,195.0,3450.0,0,2.02247191011236
2,0,42.8,14.2,209.0,4700.0,0,3.014084507042253
0,1,40.2,20.1,200.0,3975.0,1,2.0
2,0,45.0,15.4,220.0,5050.0,1,2.922077922077922
0,0,40.6,18.8,193.0,3800.0,1,2.1595744680851063
0,0,41.0,20.0,203.0,4725.0,1,2.05
2,0,49.6,16.0,225.0,5700.0,1,3.1
1,1,42.5,16.7,187.0,3350.0,0,2.5449101796407185
1,1,50.2,18.8,202.0,3800.0,1,2.670212765957447
0,2,44.1,18.0,210.0,4000.0,1,2.45
0,1,41.1,19.0,182.0,3425.0,1,2.1631578947368424
0,1,40.8,18.9,208.0,4300.0,1,2.1587301587301586
2,0,50.5,15.9,225.0,5400.0,1,3.1761006289308176
1,1,51.9,19.5,206.0,3950.0,1,2.6615384615384614
0,1,32.1,15.5,188.0,3050.0,0,2.070967741935484
0,1,37.2,18.1,178.0,3900.0,1,2.0552486187845305
2,0,55.1,16.0,230.0,5850.0,1,3.44375
0,1,36.6,18.4,184.0,3475.0,0,1.9891304347826089
2,0,45.1,14.5,207.0,5050.0,0,3.110344827586207
0,2,39.1,18.7,181.0,3750.0,1,2.0909090909090917
2,0,51.3,14.2,218.0,5300.0,1,3.612676056338028
2,0,46.4,15.0,216.0,4700.0,0,3.0933333333333333
2,0,52.2,17.1,228.0,5400.0,1,3.052631578947368
0,0,38.6,17.2,199.0,3750.0,0,2.244186046511628
1,1,50.1,17.9,190.0,3400.0,0,2.7988826815642462
2,0,48.6,16.0,230.0,5800.0,1,3.0375
2,0,47.6,14.5,215.0,5400.0,1,3.282758620689655
1,1,50.2,18.7,198.0,3775.0,0,2.6844919786096257
0,0,43.2,19.0,197.0,4775.0,1,2.273684210526316
1,1,52.0,19.0,197.0,4150.0,1,2.736842105263158
0,0,37.9,18.6,193.0,2925.0,0,2.0376344086021505
0,1,40.8,18.4,195.0,3900.0,1,2.217391304347826
2,0,45.3,13.7,210.0,4300.0,0,3.3065693430656933
0,0,41.1,19.1,188.0,4100.0,1,2.1518324607329844
1,1,52.7,19.8,197.0,3725.0,1,2.6616161616161618
0,0,42.0,19.5,200.0,4050.0,1,2.1538461538461537
2,0,49.1,14.8,220.0,5150.0,0,3.3175675675675675
2,0,47.2,15.5,215.0,4975.0,0,3.045161290322581
0,2,38.7,19.0,195.0,3450.0,0,2.0368421052631582
2,0,46.8,14.3,215.0,4850.0,0,3.2727272727272725
1,1,42.5,17.3,187.0,3350.0,0,2.4566473988439306
2,0,43.4,14.4,218.0,4600.0,0,3.013888888888889
0,1,39.5,17.8,188.0,3300.0,0,2.2191011235955056
2,0,45.2,15.8,215.0,5300.0,1,2.8607594936708862
2,0,42.0,13.5,210.0,4150.0,0,3.111111111111111
2,0,48.7,15.1,222.0,5350.0,1,3.2251655629139075
0,2,39.3,20.6,190.0,3650.0,1,1.907766990291262
0,2,39.0,17.1,191.0,3050.0,0,2.280701754385965
0,1,42.2,18.5,180.0,3550.0,0,2.2810810810810813
2,0,42.6,13.7,213.0,4950.0,0,3.109489051094891
1,1,50.3,20.0,197.0,3300.0,1,2.515
2,0,49.6,15.0,216.0,4750.0,1,3.306666666666666
2,0,46.5,14.8,217.0,5200.0,0,3.141891891891892
2,0,50.0,15.3,220.0,5550.0,1,3.2679738562091503
0,1,37.3,16.8,192.0,3000.0,0,2.220238095238095
0,2,35.9,16.6,190.0,3050.0,0,2.1626506024096384
2,0,50.0,16.3,230.0,5700.0,1,3.067484662576687
0,1,40.6,17.2,187.0,3475.0,1,2.36046511627907
0,1,38.1,17.6,187.0,3425.0,0,2.164772727272727
0,2,38.6,21.2,191.0,3800.0,1,1.820754716981132
0,2,33.5,19.0,190.0,3600.0,0,1.763157894736842
0,2,46.0,21.5,194.0,4200.0,1,2.13953488372093
1,1,46.6,17.8,193.0,3800.0,0,2.617977528089888
0,1,39.6,18.8,190.0,4600.0,1,2.106382978723404
2,0,44.5,14.7,214.0,4850.0,0,3.027210884353741
2,0,43.2,14.5,208.0,4450.0,0,2.9793103448275864
2,0,48.7,14.1,210.0,4450.0,0,3.4539007092198584
2,0,45.2,13.8,215.0,4750.0,0,3.27536231884058
2,0,46.5,14.5,213.0,4400.0,0,3.206896551724138
1,1,46.8,16.5,189.0,3650.0,0,2.836363636363636
1,1,50.8,19.0,210.0,4100.0,1,2.673684210526316
2,0,45.5,14.5,212.0,4750.0,0,3.1379310344827585
2,0,44.0,13.6,208.0,4350.0,0,3.235294117647059
2,0,51.5,16.3,230.0,5500.0,1,3.159509202453988
2,0,49.5,16.1,224.0,5650.0,1,3.074534161490683
2,0,43.8,13.9,208.0,4300.0,0,3.151079136690647
1,1,52.2,18.8,197.0,3450.0,1,2.776595744680851
1,1,50.5,19.6,201.0,4050.0,1,2.576530612244898
0,1,42.3,21.2,191.0,4150.0,1,1.9952830188679245
2,0,50.0,15.2,218.0,5700.0,1,3.2894736842105265
1,1,50.9,17.9,196.0,3675.0,0,2.8435754189944134
2,0,45.5,13.9,210.0,4200.0,0,3.273381294964029
0,0,45.6,20.3,191.0,4600.0,1,2.246305418719212
0,0,37.6,19.1,194.0,3750.0,1,1.9685863874345548
0,2,39.5,17.4,186.0,3800.0,0,2.270114942528736
0,0,41.4,18.6,191.0,3700.0,1,2.225806451612903
0,1,36.3,19.5,190.0,3800.0,1,1.8615384615384611
1,1,45.6,19.4,194.0,3525.0,0,2.350515463917526
0,1,39.8,19.1,184.0,4650.0,1,2.083769633507853
2,0,46.6,14.2,210.0,4850.0,0,3.2816901408450705
0,1,40.3,18.5,196.0,4350.0,1,2.1783783783783783
0,0,36.5,16.6,181.0,2850.0,0,2.198795180722892
2,0,48.5,14.1,220.0,5300.0,1,3.4397163120567376
2,0,48.2,14.3,210.0,4600.0,0,3.370629370629371
0,2,34.4,18.4,184.0,3325.0,0,1.8695652173913044
0,1,36.2,17.3,187.0,3300.0,0,2.092485549132948
2,0,45.3,13.8,208.0,4200.0,0,3.2826086956521734
1,1,42.4,17.3,181.0,3600.0,0,2.450867052023121
2,0,48.8,16.2,222.0,6000.0,1,3.0123456790123457
0,1,40.2,17.1,193.0,3400.0,0,2.350877192982456
2,0,48.1,15.1,209.0,5500.0,1,3.185430463576159
2,0,47.3,15.3,222.0,5250.0,1,3.091503267973856
0,0,35.7,16.9,185.0,3150.0,0,2.112426035502959
0,0,39.0,17.5,186.0,3550.0,0,2.2285714285714286
1,1,46.4,17.8,191.0,3700.0,0,2.606741573033708
1,1,45.5,17.0,196.0,3500.0,0,2.676470588235294
2,0,45.2,14.8,212.0,5200.0,0,3.054054054054054
1,1,46.2,17.5,187.0,3650.0,0,2.64
1,1,50.6,19.4,193.0,3800.0,1,2.6082474226804124
0,0,36.4,17.1,184.0,2850.0,0,2.1286549707602336
0,0,34.5,18.1,187.0,2900.0,0,1.9060773480662985
2,0,45.1,14.5,215.0,5000.0,0,3.110344827586207
2,0,48.7,15.7,208.0,5350.0,1,3.101910828025478
0,0,40.6,18.6,183.0,3550.0,1,2.182795698924731
1,1,45.9,17.1,190.0,3575.0,0,2.6842105263157894
2,0,54.3,15.7,231.0,5650.0,1,3.4585987261146496
1,1,50.8,18.5,201.0,4450.0,1,2.745945945945946
2,0,52.5,15.6,221.0,5450.0,1,3.3653846153846154
2,0,50.5,15.9,222.0,5550.0,1,3.1761006289308176
2,0,49.4,15.8,216.0,4925.0,1,3.1265822784810124
1,1,45.4,18.7,188.0,3525.0,0,2.427807486631016
0,1,35.6,17.5,191.0,3175.0,0,2.0342857142857143
1,1,45.2,17.8,198.0,3950.0,0,2.539325842696629
0,0,39.7,18.9,184.0,3550.0,1,2.100529100529101
0,1,39.6,18.1,186.0,4450.0,1,2.187845303867403
2,0,46.1,13.2,211.0,4500.0,0,3.4924242424242427
0,2,41.5,18.3,195.0,4300.0,1,2.26775956284153
2,0,49.9,16.1,213.0,5400.0,1,3.0993788819875774
0,0,35.3,18.9,187.0,3800.0,0,1.867724867724868
1,1,50.9,19.1,196.0,3550.0,1,2.664921465968586
0,2,37.2,19.4,184.0,3900.0,1,1.9175257731958768
0,0,39.7,17.7,193.0,3200.0,0,2.2429378531073447
2,0,45.5,15.0,220.0,5000.0,1,3.033333333333333
0,0,38.1,17.0,181.0,3175.0,0,2.2411764705882358
